"","i"
"79","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_dolichoptera_complex_sp._UO-2013"
"80","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_sp._UO-2013"
"81","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_sp._WM-2017a"
"82","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_cf._tremula/oblonga_UO-2012"
"83","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_pectinata"
"84","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_sp._AMD-2002"
"85","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_sp._WM-2017a"
"86","k__Metazoa, p__unknown, c__unknown, o__unknown, f__unknown, g__unknown, s__invertebrate_environmental_sample"
"87","k__Viridiplantae, p__Chlorophyta, c__Trebouxiophyceae, o__Chlorellales, f__Chlorellaceae, g__Chlorella, s__Chlorella_sp._ArM0029B"
"88","k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Bacillariales, f__Bacillariaceae, g__Nitzschia, s__Nitzschia_cf._recta_RT-2009"
"89","k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Naviculales, f__Sellaphoraceae, g__Sellaphora, s__Sellaphora_pupula"
"90","k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Melosirales, f__Melosiraceae, g__Melosira, s__Melosira_ambiqua"
"91","k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Thalassiosiraceae, g__Thalassiosira, s__Thalassiosira_pseudonana"
"92","k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales, f__Dinobryaceae, g__Dinobryon, s__Dinobryon_divergens"
"93","k__unknown, p__unknown, c__Chrysophyceae, o__unknown, f__Apoikiaceae, g__Apoikiospumella, s__Apoikiospumella_mondseeiensis"
"94","k__unknown, p__unknown, c__Dinophyceae, o__Peridiniales, f__Thoracosphaeraceae, g__Thoracosphaera, s__Thoracosphaera_heimii"
"95","k__unknown, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium, s__Pythium_flevoense"
"96","k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae, g__Saprolegnia, s__Saprolegnia_delica"
"97","k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae, g__Saprolegnia, s__Saprolegnia_parasitica"
"98","k__unknown, p__unknown, c__unknown, o__Prymnesiales, f__Chrysochromulinaceae, g__Chrysochromulina, s__Chrysochromulina_sp._CCMP291"
"99","k__unknown, p__unknown, c__unknown, o__unknown, f__unknown, g__unknown, s__zooplankton_environmental_sample"
"100","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Chydoridae, g__Chydorus"
"101","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cladopelma"
"102","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Cricotopus"
"103","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae, g__Tanytarsus"
"104","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae, g__Eucyclops"
"105","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Harpacticoida, f__Canthocamptidae, g__Canthocamptus"
"106","k__Metazoa, p__Chordata, c__Aves, o__Anseriformes, f__Anatidae, g__Anser"
"107","k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Hydridae, g__Hydra"
"108","k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Oceaniidae, g__Cordylophora"
"109","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella"
"110","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra"
"111","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta"
"112","k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Cymbellales, f__Cymbellaceae, g__Encyonema"
"113","k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Skeletonemataceae, g__Skeletonema"
"114","k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales, f__Dinobryaceae, g__Dinobryon"
"115","k__unknown, p__unknown, c__Oomycetes, o__Peronosporales, f__unknown, g__Phytophthora"
"116","k__unknown, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium"
"117","k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Bosminidae"
"118","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae"
"119","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida, f__Cyclopidae"
"120","k__Metazoa, p__Chordata, c__Aves, o__Gruiformes, f__Rallidae"
"121","k__Metazoa, p__Porifera, c__Demospongiae, o__Spongillida, f__Spongillidae"
"122","k__unknown, p__unknown, c__Florideophyceae, o__Batrachospermales, f__Batrachospermaceae"
"123","k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae"
"124","k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera"
"125","k__Metazoa, p__Arthropoda, c__Insecta, o__Hymenoptera"
"126","k__Metazoa, p__Arthropoda, c__Maxillopoda, o__Cyclopoida"
"127","k__Metazoa, p__Porifera, c__Demospongiae, o__Spongillida"
"128","k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima"
"129","k__unknown, p__unknown, c__Dinophyceae"
"130","k__unknown, p__unknown, c__Oomycetes"
"131","k__Metazoa"
"132","__unassigned"
